DB_Atom_ID	DB_Nucleus_ID	DB_Electron_system_ID	Mono_isotopic_atomic_mass	Bonding_atom
1	1	1	1.0078250321	N
2	1	2	1.0078250321	N
3	1	3	1.0078250321	N
4	2	1	2.014101778	N
5	2	2	2.014101778	N
6	2	3	2.014101778	N
7	3	1	3.0160492675	N
8	3	2	3.0160492675	N
9	3	3	3.0160492675	N
10	4	5	12	N
11	4	6	12	N
12	4	7	12	N
13	4	8	12	N
14	5	5	13.0033548378	N
15	5	6	13.0033548378	N
16	5	7	13.0033548378	N
17	5	8	13.0033548378	N
18	6	5	14.003241988	N
19	6	6	14.003241988	N
20	6	7	14.003241988	N
21	6	8	14.003241988	N
22	7	9	14.0030740052	N
23	7	10	14.0030740052	N
24	7	11	14.0030740052	N
25	7	12	14.0030740052	N
26	7	13	14.0030740052	N
27	7	14	14.0030740052	N
28	7	15	14.0030740052	N
29	8	9	15.0001088984	N
30	8	10	15.0001088984	N
31	8	11	15.0001088984	N
32	8	12	15.0001088984	N
33	8	13	15.0001088984	N
34	8	14	15.0001088984	N
35	8	15	15.0001088984	N
36	9	16	15.9949146221	N
37	9	17	15.9949146221	N
38	10	16	16.9991315	N
39	10	17	16.9991315	N
40	11	16	17.9991604	N
41	11	17	17.9991604	N
42	12	19	30.97376151	N
43	12	20	30.97376151	N
44	12	21	30.97376151	N
45	12	22	30.97376151	N
46	13	23	31.97207069	N
47	13	24	31.97207069	N
48	13	25	31.97207069	N
49	13	26	31.97207069	N
50	14	23	32.9714585	N
51	14	24	32.9714585	N
52	14	25	32.9714585	N
53	14	26	32.9714585	N
54	15	23	33.96786683	N
55	15	24	33.96786683	N
56	15	25	33.96786683	N
57	15	26	33.96786683	N
58	16	23	35.96708088	N
59	16	24	35.96708088	N
60	16	25	35.96708088	N
61	16	26	35.96708088	N
62	17	28	53.9396148	N
63	17	29	53.9396148	N
64	17	30	53.9396148	N
65	17	31	53.9396148	N
66	18	28	55.9349421	N
67	18	29	55.9349421	N
68	18	30	55.9349421	N
69	18	31	55.9349421	N
70	19	28	56.9353987	N
71	19	29	56.9353987	N
72	19	30	56.9353987	N
73	19	31	56.9353987	N
74	20	28	57.9332805	N
75	20	29	57.9332805	N
76	20	30	57.9332805	N
77	20	31	57.9332805	N
78	1	32	1.0078250321	Y
79	4	33	12	Y
80	7	34	14.0030740052	Y
81	12	35	30.97376151	Y
82	13	36	31.97207069	Y
83	18	37	53.9396148	Y
84	9	38	15.9949146221	Y
