DB_Electron_system_ID	Electron_configuration	Unpaired_electron_number	Oxidation_number	Paramagnetic
1	1s1	1	0	Y
2	1s2	0	1	N
3	1s	0	-1	N
4	1s2	0	0	N
5	1s2 2s2 2p2	0	0	N
6	1s2 2s2	0	2	N
7	1s2	0	4	N
8	1s2 2s2 2p6	0	-4	N
9	1s2 2s2 2p3	1	0	Y
10	1s2 2s2 2p2	0	1	N
11	1s2 2s2 2p1	1	2	Y
12	1s2 2s2	0	3	N
13	1s2 2s1	1	4	Y
14	1s2	0	5	N
15	1s2 2s2 2p4	0	-1	N
16	1s2 2s2 2p4	0	0	N
17	1s2 2s2 2p6	0	-2	N
18	1s2 2s2 2p6	0	0	N
19	1s2 2s2 2p6 3s2 3p3	1	0	Y
20	1s2 2s2 2p6 3s2	0	3	N
21	1s2 2s2 2p6	0	5	N
22	1s2 2s2 2p6 3s2 3p6	0	-3	N
23	1s2 2s2 2p6 3s2 3p4	0	0	N
24	1s2 2s2 2p6 3s2	0	4	N
25	1s2 2s2 2p6	0	6	N
26	1s2 2s2 2p6 3s2 3p6	0	-2	N
27	1s2 2s2 2p6 3s2 3p6	0	0	N
28	1s2 2s2 2p6 3s2 3p6 3d6 4s2	0	0	N
29	1s2 2s2 2p6 3s2 3p6 3d6	0	2	N
30	1s2 2s2 2p6 3s2 3p6 3d5	1	3	Y
31	1s2 2s2 2p6 3s2 3p6 3d5	5	3	Y
32		0	0	N
33		0	0	N
34		0	0	N
35		0	0	N
36		0	0	N
37		0	0	N
38		0	0	N
