DB_Nucleus_ID	DB_Element_ID	Isotope_number	Neutron_number	Spin	Natural_abundance_percent	NMR_default
1	1	1	0	1/2	99.9885	Y
2	1	2	1	1	0.0115	N
3	1	3	2		0	N
4	2	12	6	0	98.93	N
5	2	13	7	1/2	1.07	Y
6	2	14	8		0	N
7	3	14	7	1	99.632	N
8	3	15	8	1/2	0.368	Y
9	4	16	8	0	99.757	N
10	4	17	9	5/2	0.038	Y
11	4	18	10	0	0.205	N
12	5	31	16	1/2	100	Y
13	6	32	16	0	94.93	N
14	6	33	17	3/2	0.76	Y
15	6	34	18	0	4.29	N
16	6	36	20	0	0.02	N
17	7	54	28	0	5.845	N
18	7	56	30	0	91.754	N
19	7	57	31	1/2	2.119	Y
20	7	58	32	0	0.282	N
